word_chinese	word_english	test_option_1	test_option_2	test_option_3
法人的;(大)公司的	corporate	corporate	countable	crunchy
團體	corps	corps	counterclockwise	crust
行屍走肉	corpse	corpse	counterpart	cube
改正	correction	correction	countless	cubic
互相關聯	correlate	correlate	coup	cuisine
通信;符合	correspondence	correspondence	coupon	culminate
通信者	correspondent	correspondent	courier	cult
相應；對應的，符合…的	corresponding	corresponding	courtyard	cumulative
腐蝕	corrode	corrode	coverage	curb
腐敗的	corrupt	corrupt	covering	curfew
腐敗	corruption	corruption	covet	currency
化妝品	cosmetic	cosmetic	cowardly	curriculum
喜劇的	comic	comic	cozy	curry
世界主義者	cosmopolitan	cosmopolitan	crackdown	custody
精神上有負擔的	costing	costing	cracker	customary
參議員	councilor	councilor	cramp	cutting
商議	counsel	counsel	crap	cylinder
商議	counseling	counseling	crater	cynical
顧問	counselor	counselor	creak	daffodil
可數的	countable	countable	creativity	dame
逆時針；反時針方向的(地)	counterclockwise	counterclockwise	creator	damned
相對物	counterpart	counterpart	credibility	dandruff
無數的	countless	countless	credible	daring
突然的一擊	coup	coup	creditor	dart
優待券	coupon	coupon	creek	daybreak
急件遞送人	courier	courier	crib	day-to-day
庭院	courtyard	courtyard	criterion(	dazzle
範圍	coverage	coverage	crocodile	deadly
被覆	covering	covering	crook	deafen
妄想(別人東西)	covet	covet	crooked	dealer
怯懦的〔地〕	cowardly	cowardly	cross-country	dealing
舒適的	cozy	cozy	crossing	debris(
〔美俚〕制裁	crackdown	crackdown	crouch	debut
鞭炮	cracker	cracker	crucial	decent
束縛;受拘束的	cramp	cramp	crude	decimal
垃圾，廢料	crap	crap	cruise	decisive
彈坑	crater	crater	cruiser	decorative
吱吱嘎嘎聲	creak	creak	crumb	decree
創造力	creativity	creativity	crumble	dedicate
創造者	creator	creator	crunch	dedicated
可靠性	credibility	credibility	crunchy	deduce
可信的	credible	credible	crust	deduct
債權人	creditor	creditor	cube	deduction
溪河	creek	creek	cubic	deem
搖籃	crib	crib	cuisine	deepen
評判等的)標準	criterion(	criterion(	culminate	default
鱷魚	crocodile	crocodile	cult	defect
彎曲	crook	crook	cumulative	defendant
彎曲的；歪扭的	crooked	crooked	curb	defender
橫越(全國)的	cross-country	cross-country	curfew	defensible
交叉點；十字街口	crossing	crossing	currency	defiance
蜷著，縮著	crouch	crouch	curriculum	defiant
嚴酷的;極緊要的	crucial	crucial	curry	deficiency
天然的;生硬的	crude	crude	custody	deficient
巡航;巡邏	cruise	cruise	customary	definitely
巡洋艦	cruiser	cruiser	cutting	definitive
麵包碎屑	crumb	crumb	cylinder	defy
粉碎;崩潰	crumble	crumble	cynical	degenerate
嘎喳嘎喳地咀嚼	crunch	crunch	daffodil	degrade
鬆脆的	crunchy	crunchy	dame	delegation
地殼	crust	crust	damned	deliberate
立方體	cube	cube	dandruff	delinquent
立方體[形]的	cubic	cubic	daring	demise
烹飪	cuisine	cuisine	dart	demonstrator
使告終	culminate	culminate	daybreak	denial
狂熱崇拜，迷信(偶像)	cult	cult	day-to-day	denote
累積的	cumulative	cumulative	dazzle	denounce
限制;路邊攔石	curb	curb	deadly	density
宵禁	curfew	curfew	deafen	dental
通貨	currency	currency	dealer	depict
必修課程	curriculum	curriculum	dealing	deplete
咖喱	curry	curry	debris(	deploy
拘留	custody	custody	debut	deployment
照慣例的	customary	customary	decent	deport
切斷	cutting	cutting	decimal	deprive
圓筒;柱體	cylinder	cylinder	decisive	derive
憤世嫉俗的	cynical	cynical	decorative	descent
水仙	daffodil	daffodil	decree	descendant
婦女	dame	dame	dedicate	descriptive
該死的	damned	damned	dedicated	designate
頭皮屑	dandruff	dandruff	deduce	desirable
膽大的	daring	daring	deduct	despise
標槍	dart	dart	deduction	destined
黎明，拂曉	daybreak	daybreak	deem	destiny
日常的	day-to-day	day-to-day	deepen	detach
使眼花繚亂	dazzle	dazzle	default	detached
致命的	deadly	deadly	defect	detain
使聾	deafen	deafen	defendant	detection
商人	dealer	dealer	defender	detention
交易	dealing	dealing	defensible	deter
破壞物的)碎片	debris(	debris(	defiance	deteriorate
初次登場	debut	debut	defiant	deterioration
莊重的	decent	decent	deficiency	devalue
十進位的	decimal	decimal	deficient	devastate
決定性的;斷然的	decisive	decisive	definitely	devastating
裝飾的	decorative	decorative	definitive	developed
法令;判決	decree	decree	defy	developer
奉獻	dedicate	dedicate	degenerate	developing
奉獻的	dedicated	dedicated	degrade	deviate
推論	deduce	deduce	delegation	devour
扣除	deduct	deduct	deliberate	dew
扣除額	deduction	deduction	delinquent	diabetes
想，以為	deem	deem	demise	diagnose
加深	deepen	deepen	demonstrator	diagnosis
不履行;欠缺	default	default	denial	diagram
缺陷	defect	defect	denote	diameter
被告(人)(的)	defendant	defendant	denounce	diaper
辯衛者	defender	defender	density	dictatorship
能辯護的	defensible	defensible	dental	diesel
挑釁	defiance	defiance	depict	differentiate
無禮的，目中無人的	defiant	defiant	deplete	diffuse
缺乏;缺陷	deficiency	deficiency	deploy	dilemma
不足的;有缺陷的	deficient	deficient	deployment	diligence
的確地	definitely	definitely	deport	dilute
明確的;決定(性)的	definitive	definitive	deprive	dimension
蔑視	defy	defy	derive	diminish
腐化，墮落	degenerate	degenerate	descent	diplomacy
降級;使墮落	degrade	degrade	descendant	diplomatic
委派;派遣	delegation	delegation	descriptive	directive
考慮;思考	deliberate	deliberate	designate	directly
不盡責的;懈怠者	delinquent	delinquent	desirable	directory
轉讓;讓(位)	demise	demise	despise	disability
示範者	demonstrator	demonstrator	destined	disable
否認	denial	denial	destiny	disagreement
指示	denote	denote	detach	disastrous
譴責;告發	denounce	denounce	detached	disbelief
稠密;密度	density	density	detain	discern
牙齒的	dental	dental	detection	discharge
描寫；敘述	depict	depict	detention	disciple
損耗;用盡	deplete	deplete	deter	disciplinary
疏散開;部署	deploy	deploy	deteriorate	disclose
部署	deployment	deployment	deterioration	disclosure(n.)
輸送;把…驅逐出境	deport	deport	devalue	discomfort
剝奪	deprive	deprive	devastate	discredit
導出;推論	derive	derive	devastating	discreet
下降;下坡	descent	descent	developed	discrepancy
子孫	descendant	descendant	developer	discrete
敘述的	descriptive	descriptive	developing	discretion
任命某人任某職	designate	designate	deviate	discriminate
令人滿意的	desirable	desirable	devour	discrimination
藐視	despise	despise	dew	disgrace
注定的	destined	destined	diabetes	disgraceful
命運，天數	destiny	destiny	diagnose	disintegrate
脫離	detach	detach	diagnosis	dismantle
脫離的	detached	detached	diagram	dismay
扣留；拘留	detain	detain	diameter	dismissal
發現，發覺	detection	detection	diaper	dispatch
扣留，拘留	detention	detention	dictatorship	dispensable
阻止	deter	deter	diesel	dispense
使惡化	deteriorate	deteriorate	differentiate	disperse
惡化	deterioration	deterioration	diffuse	displace
使降低價值	devalue	devalue	dilemma	displease
蹂躪，破壞	devastate	devastate	diligence	disposable
具破壞性的	devastating	devastating	dilute	disposal
已開發的	developed	developed	dimension	dispose
開發者	developer	developer	diminish	disposition
開發中的	developing	developing	diplomacy	disregard
脫離(常軌);誤入歧途	deviate	deviate	diplomatic	disrupt
狼吞虎嚥	devour	devour	directive	dissent
露水	dew	dew	directly	dissident
糖尿病	diabetes	diabetes	directory	dissipate
診斷	diagnose	diagnose	disability	dissuade
診斷	diagnosis	diagnosis	disable	distil
圖示	diagram	diagram	disagreement	distinctive
直徑	diameter	diameter	disastrous	distort
尿布	diaper	diaper	disbelief	distract
獨裁	dictatorship	dictatorship	discern	distraction
柴油	diesel	diesel	discharge	distress
使有差別	differentiate	differentiate	disciple	distributed
擴散	diffuse	diffuse	disciplinary	distributor
進退兩難	dilemma	dilemma	disclose	disturbed
勤勉	diligence	diligence	disclosure(n.)	disturbing
沖淡，稀釋	dilute	dilute	discomfort	diverse
尺寸	dimension	dimension	discredit	diversify
減少	diminish	diminish	discreet	diversion
外交手腕	diplomacy	diplomacy	discrepancy	diversity
外交(上)的	diplomatic	diplomatic	discrete	divert
方針;指揮的	directive	directive	discretion	dividend
直接地	directly	directly	discriminate	divorced
工商人名錄	directory	directory	discrimination	doctrine
無能；殘疾	disability	disability	disgrace	documentary
使無能；使殘廢	disable	disable	disgraceful	dodge
不一致;異議	disagreement	disagreement	disintegrate	domain
損害重大的;不幸的	disastrous	disastrous	dismantle	dome
不信	disbelief	disbelief	dismay	donation
辨別	discern	discern	dismissal	donor
發射;釋放；解除	discharge	discharge	dispatch	doom
門徒	disciple	disciple	dispensable	doomed
紀律的；懲戒性的	disciplinary	disciplinary	dispense	doorstep
揭發	disclose	disclose	disperse	doorway
洩露	disclosure(n.)	disclosure(n.)	displace	dosage
不舒適，不方便	discomfort	discomfort	displease	doubtless
喪失信用	discredit	discredit	disposable	dough
謹慎的	discreet	discreet	disposal	download
矛盾；不符合	discrepancy	discrepancy	dispose	drainage
分離的;不連續的	discrete	discrete	disposition	drape
判斷(力);謹慎	discretion	discretion	disregard	drastic
區別;歧視	discriminate	discriminate	disrupt	draught
歧視	discrimination	discrimination	dissent	drawback
出醜，丟臉	disgrace	disgrace	dissident	dreary
不光彩的	disgraceful	disgraceful	dissipate	dressed
使崩潰，使瓦解	disintegrate	disintegrate	dissuade	dried
拆除…的設備	dismantle	dismantle	distil	driveway
沮喪	dismay	dismay	distinctive	drizzle
解雇;遣散	dismissal	dismissal	distort	dual
發送	dispatch	dispatch	distract	dub
可有可無的	dispensable	dispensable	distraction	dubious
豁免(義務等);發放(施捨物等)	dispense	dispense	distress	duplicate
使散開	disperse	disperse	distributed	dwarf
撤換，把…免職	displace	displace	distributor	dwell
使不愉快	displease	displease	disturbed	dwelling
用後就扔棄的	disposable	disposable	disturbing	dying
處理(n.)	disposal	disposal	diverse	dynamite
有	dispose	dispose	diversify	earphones
性情	disposition	disposition	diversion	ebb
不顧;輕視	disregard	disregard	diversity	eccentric
使瓦解;打斷	disrupt	disrupt	divert	eclipse
持異議;異議	dissent	dissent	dividend	ecological
持不同意見者	dissident	dissident	divorced	ecology
使(雲霧等)消散，驅散(憂慮等)	dissipate	dissipate	doctrine	ecstasy
勸阻	dissuade	dissuade	documentary	ecstatic
蒸餾	distil	distil	dodge	edged
獨特的;鑒別性的	distinctive	distinctive	domain	educated
使歪扭;曲解	distort	distort	dome	eel
分散(注意力等)	distract	distract	donation	ego
分心	distraction	distraction	donor	eject
苦惱	distress	distress	doom	elapse(
分發的，配給的	distributed	distributed	doomed	electoral
配給者；散佈者	distributor	distributor	doorstep	electorate
被打擾的	disturbed	disturbed	doorway	electron
打擾人的	disturbing	disturbing	dosage	elevate
形形色色的	diverse	diverse	doubtless	elevation
使多樣化	diversify	diversify	dough	elicit
導流；轉移，轉向;消遣，娛樂	diversion	diversion	download	eligibility
差異;多樣	diversity	diversity	drainage	eligible
使轉向	divert	divert	drape	elite
紅利，股息	dividend	dividend	drastic	eloquence
離婚的	divorced	divorced	draught	eloquent
教條	doctrine	doctrine	drawback	embargo
記錄片	documentary	documentary	dreary	embark
躲開	dodge	dodge	dressed	embarrassment
勢力範圍	domain	domain	dried	embed
圓屋頂	dome	dome	driveway	embody
捐贈	donation	donation	drizzle	embrace
贈送人	donor	donor	dual	embryo
惡運	doom	doom	dub	emergence
注定要	doomed	doomed	dubious	emigrant
門階	doorstep	doorstep	duplicate	emigrate
出入口	doorway	doorway	dwarf	emigration
劑量	dosage	dosage	dwell	emission(
無疑地	doubtless	doubtless	dwelling	emit
生麵團	dough	dough	dying	emphatic
下載	download	download	dynamite	empirical
排水;排水系統	drainage	drainage	earphones	enact
披上;布簾	drape	drape	ebb	enclosure
激烈的	drastic	drastic	eccentric	encouraging
一飲;匯票；付款通知	draught	draught	eclipse	encyclopedia
障礙;弊端;退款	drawback	drawback	ecological	endeavor
枯燥的	dreary	dreary	ecology	endless
盛裝的	dressed	dressed	ecstasy	endorse
乾燥的	dried	dried	ecstatic	endow
私人車道	driveway	driveway	edged	endowment
毛毛雨	drizzle	drizzle	educated	energize
二元的;雙的	dual	dual	eel	enforcement
刺	dub	dub	ego	engaged
半信半疑的	dubious	dubious	eject	engagement
使加倍	duplicate	duplicate	elapse(	enlighten
侏儒	dwarf	dwarf	electoral	enrich
居住	dwell	dwell	electorate	ensue
住宅	dwelling	dwelling	electron	entail
快死的	dying	dying	elevate	enthusiast
炸藥	dynamite	dynamite	elevation	entity
耳機	earphones	earphones	elicit	entrepreneur
落潮;衰落	ebb	ebb	eligibility	environmentalist
異常的	eccentric	eccentric	eligible	envisage
蝕	eclipse	eclipse	elite	envoy
生態學的	ecological	ecological	eloquence	enzyme
生態學	ecology	ecology	eloquent	epic
狂喜	ecstasy	ecstasy	embargo	epidemic
狂喜的	ecstatic	ecstatic	embark	episode
有刃的;鋒利的	edged	edged	embarrassment	epoch
受過教育的	educated	educated	embed	equate
鱔魚	eel	eel	embody	equation
自我	ego	ego	embrace	equator
逐出;吐出	eject	eject	embryo	equilibrium
時間)經過，消失	elapse(	elapse(	emergence	equity
選舉的；選舉人的	electoral	electoral	emigrant	erode
選民(全體)	electorate	electorate	emigrate	erosion
電子	electron	electron	emigration	erotic
提升	elevate	elevate	emission(	erroneous
海拔	elevation	elevation	emit	erupt(
誘出(回答等)	elicit	elicit	emphatic	eruption
適任	eligibility	eligibility	empirical	escalate
適任的	eligible	eligible	enact	escort
精英份子	elite	elite	enclosure	essence
雄辯；口才	eloquence	eloquence	encouraging	established
口才好的	eloquent	eloquent	encyclopedia	establishment
禁止(船隻)出入港口	embargo	embargo	endeavor	esteem
上飛機，上船	embark	embark	endless	eternal
窘迫	embarrassment	embarrassment	endorse	eternity
嵌進	embed	embed	endow	ethic
使具體化	embody	embody	endowment	ethical
擁抱	embrace	embrace	energize	ethics
胚胎;胚芽	embryo	embryo	enforcement	ethnic
出現，發生	emergence	emergence	engaged	evacuate
移民;移民的	emigrant	emigrant	engagement	evacuation
移居(外國)	emigrate	emigrate	enlighten	evaluation
移居外國(n.)	emigration	emigration	enrich	evaporate
光、熱、氣體等的)發出	emission(	emission(	ensue	evaporation
發，放(光等)	emit	emit	entail	evergreen
強調的	emphatic	emphatic	enthusiast	evidently
以經驗為根據的	empirical	empirical	entity	evoke
規定;演出	enact	enact	entrepreneur	exaggerated
包圍;附件	enclosure	enclosure	environmentalist	exaggeration
鼓勵人的	encouraging	encouraging	envisage	examinee
百科全書	encyclopedia	encyclopedia	envoy	exceed
努力	endeavor	endeavor	enzyme	exceedingly
無盡的	endless	endless	epic	excel
背書;簽收	endorse	endorse	epidemic	excerpt
授與	endow	endow	episode	excess
捐款；基金	endowment	endowment	epoch	excessive
給與…以活力	energize	energize	equate	exclude
強制;厲行	enforcement	enforcement	equation	exclusion
忙於…;訂婚了的	engaged	engaged	equator	exclusively
約會;婚約	engagement	engagement	equilibrium	execute
啟發	enlighten	enlighten	equity	execution
使豐富	enrich	enrich	erode	exemplify
隨後的	ensue	ensue	erosion	exempt
遺留給，轉給(弊害等)	entail	entail	erotic	exert
熱衷者	enthusiast	enthusiast	erroneous	exile
實體;存在(物)	entity	entity	erupt(	existing
企業家	entrepreneur	entrepreneur	eruption	exotic
環境保護論者	environmentalist	environmentalist	escalate	expedition
面對(事實等)	envisage	envisage	escort	expel
使者	envoy	envoy	essence	expend
酵	enzyme	enzyme	established	expenditure
史詩	epic	epic	establishment	experienced
傳染病	epidemic	epidemic	esteem	expertise
插曲;小說中的一段情節	episode	episode	eternal	expiration
紀元	epoch	epoch	eternity	expire
使相等	equate	equate	ethic	explicit
均衡	equation	equation	ethical	exploration
赤道	equator	equator	ethics	exposition
均衡;(心情的)平靜	equilibrium	equilibrium	ethnic	expressive
公平	equity	equity	evacuate	expulsion
侵蝕	erode	erode	evacuation	exquisite
侵蝕	erosion	erosion	evaluation	exterior
性欲的	erotic	erotic	evaporate	external
錯誤的	erroneous	erroneous	evaporation	externals
火山等)迸發	erupt(	erupt(	evergreen	extinguish
噴發	eruption	eruption	evidently	extract
乘電梯上升	escalate	escalate	evoke	extracurricular
護送	escort	escort	exaggerated	extradite
本質	essence	essence	exaggeration	extravagant
被認定了的	established	established	examinee	extremist
設置;機關	establishment	establishment	exceed	eyelash
尊敬	esteem	esteem	exceedingly	eyelid
不朽的	eternal	eternal	excel	fabric
永恒	eternity	eternity	excerpt	fabricate
倫理的，道德的	ethic	ethic	excess	fabulous
倫理的，道德的	ethical	ethical	excessive	facet(
倫理道德	ethics	ethics	exclude	facilitate
種族的	ethnic	ethnic	exclusion	faction
撤走	evacuate	evacuate	exclusively	faculty
疏散	evacuation	evacuation	execute	fad
評價	evaluation	evaluation	execution	Fahrenheit
使蒸發	evaporate	evaporate	exemplify	faithfully
蒸發	evaporation	evaporation	exempt	falter
常綠植物	evergreen	evergreen	exert	familiarity
明顯的	evidently	evidently	exile	famine
喚起；引起	evoke	evoke	existing	farming
誇大的	exaggerated	exaggerated	exotic	fascination
誇大	exaggeration	exaggeration	expedition	Fascism
參加考試的人	examinee	examinee	expel	fascist
超過(限度、範圍)	exceed	exceed	expend	fatigue
極度的	exceedingly	exceedingly	expenditure	fatty
優於，超過	excel	excel	experienced	fearful
摘錄	excerpt	excerpt	expertise	feasible
過量；過剩	excess	excess	expiration	feat
過度的	excessive	excessive	expire	federation
把…除外	exclude	exclude	explicit	feeble
排除	exclusion	exclusion	exploration	feeder
排外地;獨有地	exclusively	exclusively	exposition	fellowship
執行	execute	execute	expressive	feminine
執行	execution	execution	expulsion	feminism
舉例證明	exemplify	exemplify	exquisite	feminist
免除，豁免	exempt	exempt	exterior	fertility
發揮(威力等)，使受(影響等)	exert	exert	external	fianc
流放	exile	exile	externals	fiber
現存的	existing	existing	extinguish	fiddle
異國情調的	exotic	exotic	extract	fidelity
遠征	expedition	expedition	extracurricular	filter
驅逐	expel	expel	extradite	fin
花費	expend	expend	extravagant	finding
支出，花費	expenditure	expenditure	extremist	finite
有經驗的	experienced	experienced	eyelash	firecracker
專門技能	expertise	expertise	eyelid	firefighter
呼氣	expiration	expiration	fabric	fireproof
吐氣(v.)	expire	expire	fabricate	first-class
明白的	explicit	explicit	fabulous	fiscal
探勘	exploration	exploration	facet(	fishery
博覽會	exposition	exposition	facilitate	fitting
富於表情的	expressive	expressive	faction	fixed
驅逐	expulsion	expulsion	faculty	fixture
精緻的	exquisite	exquisite	fad	flake
外部的	exterior	exterior	Fahrenheit	flank
外部的	external	external	faithfully	flap
外形，外貌	externals	externals	falter	flare
滅(火)	extinguish	extinguish	familiarity	flaw
分離出	extract	extract	famine	fleet(
正課以外的	extracurricular	extracurricular	farming	flick(
引渡(外國的罪犯)	extradite	extradite	fascination	flicker
奢侈的，浪費的	extravagant	extravagant	Fascism	fling
過激主義者	extremist	extremist	fascist	flop
眼睫毛	eyelash	eyelash	fatigue	flounder
眼瞼	eyelid	eyelid	fatty	flourish
織物	fabric	fabric	fearful	fluctuate
構成；組成	fabricate	fabricate	feasible	fluency
極好的	fabulous	fabulous	feat	fluid
事物的)一面	facet(	facet(	federation	flunk(
使容易;助長	facilitate	facilitate	feeble	flutter
派別	faction	faction	feeder	foe
才能;(大學的)專科	faculty	faculty	fellowship	foil
一時流行的風尚	fad	fad	feminine	folklore
華氏	Fahrenheit	Fahrenheit	feminism	follow-up
忠實地	faithfully	faithfully	feminist	footage(
踉蹌;結巴	falter	falter	fertility	footstep
熟悉	familiarity	familiarity	fianc	forbidden
饑荒	famine	famine	fiber	foremost
耕作；飼養(家禽)	farming	farming	fiddle	forge(
魅力;迷戀	fascination	fascination	fidelity	format(
法西斯主義	Fascism	Fascism	filter	formidable
法西斯主義者	fascist	fascist	fin	formulate
勞累	fatigue	fatigue	finding	forsake
油膩的	fatty	fatty	finite	forthcoming
嚇人的	fearful	fearful	firecracker	fortify
行得通的;適宜的	feasible	feasible	firefighter	fortnight
卓絕的手藝	feat	feat	fireproof	forum
聯邦	federation	federation	first-class	fossil
虛弱的	feeble	feeble	fiscal	foster
餵食者;進料器	feeder	feeder	fishery	foul
夥伴關係;交情	fellowship	fellowship	fitting	fowl
女性的	feminine	feminine	fixed	fraction
爭取女權運動	feminism	feminism	fixture	fracture
爭取女權運動的人	feminist	feminist	flake	fragile
肥沃;繁殖力	fertility	fertility	flank	fragment
未婚夫	fianc	fianc	flap	fragrant
纖維	fiber	fiber	flare	frail
提琴;瞎擺弄	fiddle	fiddle	flaw	framework
忠誠;逼真度	fidelity	fidelity	fleet(	Franc
濾紙;過濾	filter	filter	flick(	franchise
鰭	fin	fin	flicker	frankly
發現的東西	finding	finding	fling	frantic
有限的	finite	finite	flop	fraud
鞭炮	firecracker	firecracker	flounder	freak
消防隊員	firefighter	firefighter	flourish	fret
防火的	fireproof	fireproof	fluctuate	friction
一流的	first-class	first-class	fluency	fringe
財政上的；會計的	fiscal	fiscal	fluid	frontier
漁業	fishery	fishery	flunk(	front-page
配合;裝置;適當的	fitting	fitting	flutter	fruitful
固定的	fixed	fixed	foe	frustration
固定;固定物	fixture	fixture	foil	full-time
薄片;火花	flake	flake	folklore	fume(
腰窩;側翼建築物	flank	flank	follow-up	fumes
拍動(翅膀)	flap	flap	footage(	fundamentalism
閃爍的火光	flare	flare	footstep	fundamentalist
瑕疵	flaw	flaw	forbidden	funding
汽車、戰車等的)車隊;疾飛	fleet(	fleet(	foremost	furnace
用手指)輕彈;輕彈聲	flick(	flick(	forge(	fury
閃爍	flicker	flicker	format(	fuse
擲，丟;猛衝，突進	fling	fling	formidable	fusion
鼓翼;啪嗒[放下、坐下]	flop	flop	formulate	fuss
踉蹌;行為[言語]錯亂	flounder	flounder	forsake	galaxy
茂盛；興旺	flourish	flourish	forthcoming	gallop
起伏	fluctuate	fluctuate	fortify	garment
流利	fluency	fluency	fortnight	gaseous
流體	fluid	fluid	forum	gasp
考試等)失敗	flunk(	flunk(	fossil	gathering
拍翅振翼；(旗幟)飄揚	flutter	flutter	foster	gauge
敵人	foe	foe	foul	gel
金屬薄片	foil	foil	fowl	gender
民間傳說	folklore	folklore	fraction	generalize
追蹤;接著的	follow-up	follow-up	fracture	generate
影片等總長度的)英尺數	footage(	footage(	fragile	generator
腳步聲；足跡	footstep	footstep	fragment	genetic
被禁止的	forbidden	forbidden	fragrant	genetics
最初的;主要的	foremost	foremost	frail	genre
思想等的)鍛煉;熔鐵爐	forge(	forge(	framework	geographical
資料安排的)形式	format(	format(	Franc	geology
可怕的;難以應付的	formidable	formidable	franchise	geometry
用公式表示	formulate	formulate	frankly	ghetto
捨棄	forsake	forsake	frantic	gilt
即將到來的	forthcoming	forthcoming	fraud	given
加強;使(意志等)堅定	fortify	fortify	freak	glacier
兩星期	fortnight	fortnight	fret	glamour
論壇;座談會	forum	forum	friction	glamorous
化石的	fossil	fossil	fringe	gland
養育，撫育	foster	foster	frontier	glare
有惡臭的;令人作嘔的	foul	foul	front-page	glassware
家禽	fowl	fowl	fruitful	gleam
碎片;一點兒	fraction	fraction	frustration	glee
裂縫;(使)斷裂	fracture	fracture	full-time	glisten
脆弱的;易碎的	fragile	fragile	fume(	glitter
碎片	fragment	fragment	fumes	gloom
芬芳的，香的	fragrant	fragrant	fundamentalism	gloomy
意志薄弱的	frail	frail	fundamentalist	gnaw
框架;組織	framework	framework	funding	go-ahead
法郎	Franc	Franc	furnace	goalkeeper(
公民權;給…以特(許)權	franchise	franchise	fury	gobble
坦白地	frankly	frankly	fuse	good-looking
瘋狂的	frantic	frantic	fusion	goodwill
欺詐	fraud	fraud	fuss	gore
反常的，奇特的	freak	freak	galaxy	gorge
使煩惱;焦急，煩惱	fret	fret	gallop	gorgeous
摩擦	friction	friction	garment	gorilla
緣飾	fringe	fringe	gaseous	gospel
邊疆	frontier	frontier	gasp	governmental
轟動的;把…登在頭版上	front-page	front-page	gathering	grammatical
果實累累的;收益多的	fruitful	fruitful	gauge	graph
挫折	frustration	frustration	gel	graphic
專職的	full-time	full-time	gender	grasshopper
用煙)燻;冒煙	fume(	fume(	generalize	grassy
煙氣	fumes	fumes	generate	grate
原教旨主義	fundamentalism	fundamentalism	generator	graze
原教旨主義者	fundamentalist	fundamentalist	genetic	grease
為…提供基金	funding	funding	genetics	greed
熔爐	furnace	furnace	genre	grill(
狂怒	fury	fury	geographical	grim
熔合;合併	fuse	fuse	geology	grip
聚變	fusion	fusion	geometry	groan
大驚小怪	fuss	fuss	ghetto	grocer
銀河	galaxy	galaxy	gilt	groove
急馳	gallop	gallop	given	grope
衣服	garment	garment	glacier	gross
氣體的;空虛的	gaseous	gaseous	glamour	grove
喘氣;透不過氣	gasp	gasp	glamorous	growl
聚集;採集	gathering	gathering	gland	grumble
標準規格	gauge	gauge	glare	guaranteed
凝膠(體)	gel	gel	glassware	guerrilla
性	gender	gender	gleam	guideline
使一般化;概括	generalize	generalize	glee	guild
產生	generate	generate	glisten	guitarist
產生者;發電機	generator	generator	glitter	gulp
遺傳(學)上的	genetic	genetic	gloom	gunman
遺傳學	genetics	genetics	gloomy	gust
類型	genre	genre	gnaw	gymnasium
地理學的	geographical	geographical	go-ahead	gypsy
地質	geology	geology	goalkeeper(	habitat
幾何學	geometry	geometry	gobble	hack
少數民族聚居區	ghetto	ghetto	good-looking	hacker
鍍金的	gilt	gilt	goodwill	hail
一定的;已知的	given	given	gore	hairstyle
冰河	glacier	glacier	gorge	half-time
魔法;使對…著迷	glamour	glamour	gorgeous	halve
富有魔力的，迷人的	glamorous	glamorous	gorilla	hamper
腺	gland	gland	gospel	handbook
眩目的光;用目光表示(嫌惡、輕視)	glare	glare	governmental	handicraft
玻璃器皿	glassware	glassware	grammatical	harass
微光	gleam	gleam	graph	harassment
快樂，狂歡	glee	glee	graphic	hardwood
閃爍	glisten	glisten	grasshopper	hardy
閃閃發光	glitter	glitter	grassy	harmless
幽暗;憂鬱	gloom	gloom	grate	harmonica
陰暗的;令人沮喪的	gloomy	gloomy	graze	harness
齒啃	gnaw	gnaw	grease	haste
有冒險精神的	go-ahead	go-ahead	greed	hasten
足球等的)守門員	goalkeeper(	goalkeeper(	grill(	hateful
狼吞虎嚥	gobble	gobble	grim	haul
標緻的	good-looking	good-looking	grip	haunt
善意	goodwill	goodwill	groan	haven
三角形地帶;刺破	gore	gore	grocer	hazard
拚命吃;峽谷	gorge	gorge	groove	hazardous
華麗的	gorgeous	gorgeous	grope	heading
大猩猩	gorilla	gorilla	gross	head-on
福音;主義	gospel	gospel	grove	healthful
政府的	governmental	governmental	growl	hearing
文法上的	grammatical	grammatical	grumble	hearty
圖表	graph	graph	guaranteed	heated
用圖表示的	graphic	graphic	guerrilla	heating
螳螂	grasshopper	grasshopper	guideline	heave
草多的	grassy	grassy	guild	heavyweight
壁爐	grate	grate	guitarist	hedge
吃草;輕輕擦過	graze	graze	gulp	heed
油脂	grease	grease	gunman	heighten
貪婪	greed	greed	gust	heir
在烤架上)炙烤	grill(	grill(	gymnasium	helpless
冷酷的;堅強的	grim	grim	gypsy	hemisphere
緊握	grip	grip	habitat	henceforth
呻吟	groan	groan	hack	herald
雜貨商	grocer	grocer	hacker	herb
溝紋	groove	groove	hail	hereafter
摸索	grope	grope	hairstyle	heritage
粗壯的;粗糙的;感覺遲鈍的	gross	gross	half-time	hermit
樹叢	grove	grove	halve	heroic
咆哮	growl	growl	hamper	heroin
發牢騷	grumble	grumble	handbook	heterosexual
保證的	guaranteed	guaranteed	handicraft	hierarchy
游擊隊	guerrilla	guerrilla	harass	hi-fi
指導方針	guideline	guideline	harassment	highlight
協會	guild	guild	hardwood	hillside(
吉他手	guitarist	guitarist	hardy	hinder
一口吞下	gulp	gulp	harmless	hinge
帶槍者	gunman	gunman	harmonica	hiss
一陣狂風	gust	gust	harness	hoarse
體育館，健身房	gymnasium	gymnasium	haste	hockey
吉普賽人	gypsy	gypsy	hasten	holder
棲息地	habitat	habitat	hateful	holding
亂劈; 胡亂刪改	hack	hack	haul	homeless
駭客	hacker	hacker	haunt	hometown
