Id,word_chinese,word_english,test_option_1,test_option_2,test_option_3
598,顯著的,conspicuous,conspicuous,contention,correlate
599,共謀,conspiracy,conspiracy,contentment,correspondence
600,警察,constable,constable,contestant,correspondent
601,選民,constituency,constituency,contingent,corresponding
602,構成的,constituent,constituent,continuity,corrode
603,構成,constitutional,constitutional,contractor,corrupt
604,強迫;束縛,constrain,constrain,contradict,corruption
605,約束,constraint,constraint,contradiction,cosmetic
606,協商，評議,consultation,consultation,contradictory,comic
607,消費的,consuming,consuming,contributor,cosmopolitan
608,消費,consumption,consumption,contrive,costing
609,傳染性的,contagious,contagious,controller,councilor
610,污染物,contaminant,contaminant,controversial(,counsel
611,污染,contaminate,contaminate,controversy,counseling
612,熟思,contemplate,contemplate,convene,counselor
613,沉思,contemplation,contemplation,converge,countable
614,輕蔑,contempt,contempt,conversely,counterclockwise
615,鬥爭,contend,contend,conversion,counterpart
616,鬥爭者,contender,contender,convert,countless
617,鬥爭,contention,contention,convertible,coup
618,滿意,contentment,contentment,convict,coupon
619,參賽者,contestant,contestant,conviction,courier
620,因情況而異的,contingent,contingent,convinced,courtyard
621,連續(性),continuity,continuity,convincing,coverage
622,承包人,contractor,contractor,convoy,covering
623,抗辯;與…矛盾,contradict,contradict,co-operation,covet
624,反駁,contradiction,contradiction,co-ordinate,cowardly
625,矛盾的,contradictory,contradictory,cop,cozy
626,貢獻者,contributor,contributor,copyright,crackdown
627,設計;設法做到,contrive,contrive,coral,cracker
628,管理人,controller,controller,cordial,cramp
629,有)爭論的,controversial(,controversial(,cordially,crap
630,爭論,controversy,controversy,core,crater
631,聚集,convene,convene,cork,creak
632,會聚,converge,converge,corp,creativity
633,逆(轉)地,conversely,conversely,corporation,creator
634,轉換,conversion,conversion,corporate,credibility
635,轉化(v.),convert,convert,corps,credible
636,可轉換的,convertible,convertible,corpse,creditor
637,定…的罪,convict,convict,correction,creek
638,定罪,conviction,conviction,correlate,crib
639,被說服的,convinced,convinced,correspondence,criterion(
640,使人信服的,convincing,convincing,correspondent,crocodile
641,護送,convoy,convoy,corresponding,crook
642,合作,co-operation,co-operation,corrode,crooked
643,對等的,co-ordinate,co-ordinate,corrupt,cross-country
644,〔俚語〕警察,cop,cop,corruption,crossing
645,著作權,copyright,copyright,cosmetic,crouch
646,珊瑚,coral,coral,comic,crucial
647,懇摯的,cordial,cordial,cosmopolitan,crude
648,懇摯地,cordially,cordially,costing,cruise
649,核心,core,core,councilor,cruiser
650,軟木塞,cork,cork,counsel,crumb
651,公司,corp,corp,counseling,crumble
652,公司,corporation,corporation,counselor,crunch
653,法人的;(大)公司的,corporate,corporate,countable,crunchy
654,團體,corps,corps,counterclockwise,crust
655,行屍走肉,corpse,corpse,counterpart,cube
656,改正,correction,correction,countless,cubic
657,互相關聯,correlate,correlate,coup,cuisine
658,通信;符合,correspondence,correspondence,coupon,culminate
659,通信者,correspondent,correspondent,courier,cult
660,相應；對應的，符合…的,corresponding,corresponding,courtyard,cumulative
661,腐蝕,corrode,corrode,coverage,curb
662,腐敗的,corrupt,corrupt,covering,curfew
663,腐敗,corruption,corruption,covet,currency
664,化妝品,cosmetic,cosmetic,cowardly,curriculum
665,喜劇的,comic,comic,cozy,curry
666,世界主義者,cosmopolitan,cosmopolitan,crackdown,custody
667,精神上有負擔的,costing,costing,cracker,customary
668,參議員,councilor,councilor,cramp,cutting
669,商議,counsel,counsel,crap,cylinder
670,商議,counseling,counseling,crater,cynical
671,顧問,counselor,counselor,creak,daffodil
672,可數的,countable,countable,creativity,dame
673,逆時針；反時針方向的(地),counterclockwise,counterclockwise,creator,damned
674,相對物,counterpart,counterpart,credibility,dandruff
675,無數的,countless,countless,credible,daring
676,突然的一擊,coup,coup,creditor,dart
677,優待券,coupon,coupon,creek,daybreak
678,急件遞送人,courier,courier,crib,day-to-day
679,庭院,courtyard,courtyard,criterion(,dazzle
680,範圍,coverage,coverage,crocodile,deadly
681,被覆,covering,covering,crook,deafen
682,妄想(別人東西),covet,covet,crooked,dealer
683,怯懦的〔地〕,cowardly,cowardly,cross-country,dealing
684,舒適的,cozy,cozy,crossing,debris(
685,〔美俚〕制裁,crackdown,crackdown,crouch,debut
686,鞭炮,cracker,cracker,crucial,decent
687,束縛;受拘束的,cramp,cramp,crude,decimal
688,垃圾，廢料,crap,crap,cruise,decisive
689,彈坑,crater,crater,cruiser,decorative
690,吱吱嘎嘎聲,creak,creak,crumb,decree
691,創造力,creativity,creativity,crumble,dedicate
692,創造者,creator,creator,crunch,dedicated
693,可靠性,credibility,credibility,crunchy,deduce
694,可信的,credible,credible,crust,deduct
695,債權人,creditor,creditor,cube,deduction
696,溪河,creek,creek,cubic,deem
697,搖籃,crib,crib,cuisine,deepen
698,評判等的)標準,criterion(,criterion(,culminate,default
699,鱷魚,crocodile,crocodile,cult,defect
700,彎曲,crook,crook,cumulative,defendant
701,彎曲的；歪扭的,crooked,crooked,curb,defender
702,橫越(全國)的,cross-country,cross-country,curfew,defensible
703,交叉點；十字街口,crossing,crossing,currency,defiance
704,蜷著，縮著,crouch,crouch,curriculum,defiant
705,嚴酷的;極緊要的,crucial,crucial,curry,deficiency
706,天然的;生硬的,crude,crude,custody,deficient
707,巡航;巡邏,cruise,cruise,customary,definitely
708,巡洋艦,cruiser,cruiser,cutting,definitive
709,麵包碎屑,crumb,crumb,cylinder,defy
710,粉碎;崩潰,crumble,crumble,cynical,degenerate
711,嘎喳嘎喳地咀嚼,crunch,crunch,daffodil,degrade
712,鬆脆的,crunchy,crunchy,dame,delegation
713,地殼,crust,crust,damned,deliberate
714,立方體,cube,cube,dandruff,delinquent
715,立方體[形]的,cubic,cubic,daring,demise
716,烹飪,cuisine,cuisine,dart,demonstrator
717,使告終,culminate,culminate,daybreak,denial
718,狂熱崇拜，迷信(偶像),cult,cult,day-to-day,denote
719,累積的,cumulative,cumulative,dazzle,denounce
720,限制;路邊攔石,curb,curb,deadly,density
721,宵禁,curfew,curfew,deafen,dental
722,通貨,currency,currency,dealer,depict
723,必修課程,curriculum,curriculum,dealing,deplete
724,咖喱,curry,curry,debris(,deploy
725,拘留,custody,custody,debut,deployment
726,照慣例的,customary,customary,decent,deport
727,切斷,cutting,cutting,decimal,deprive
728,圓筒;柱體,cylinder,cylinder,decisive,derive
729,憤世嫉俗的,cynical,cynical,decorative,descent
730,水仙,daffodil,daffodil,decree,descendant
731,婦女,dame,dame,dedicate,descriptive
732,該死的,damned,damned,dedicated,designate
733,頭皮屑,dandruff,dandruff,deduce,desirable
734,膽大的,daring,daring,deduct,despise
735,標槍,dart,dart,deduction,destined
736,黎明，拂曉,daybreak,daybreak,deem,destiny
737,日常的,day-to-day,day-to-day,deepen,detach
738,使眼花繚亂,dazzle,dazzle,default,detached
739,致命的,deadly,deadly,defect,detain
740,使聾,deafen,deafen,defendant,detection
741,商人,dealer,dealer,defender,detention
742,交易,dealing,dealing,defensible,deter
743,破壞物的)碎片,debris(,debris(,defiance,deteriorate
744,初次登場,debut,debut,defiant,deterioration
745,莊重的,decent,decent,deficiency,devalue
746,十進位的,decimal,decimal,deficient,devastate
747,決定性的;斷然的,decisive,decisive,definitely,devastating
748,裝飾的,decorative,decorative,definitive,developed
749,法令;判決,decree,decree,defy,developer
750,奉獻,dedicate,dedicate,degenerate,developing
751,奉獻的,dedicated,dedicated,degrade,deviate
752,推論,deduce,deduce,delegation,devour
753,扣除,deduct,deduct,deliberate,dew
754,扣除額,deduction,deduction,delinquent,diabetes
755,想，以為,deem,deem,demise,diagnose
756,加深,deepen,deepen,demonstrator,diagnosis
757,不履行;欠缺,default,default,denial,diagram
758,缺陷,defect,defect,denote,diameter
759,被告(人)(的),defendant,defendant,denounce,diaper
760,辯衛者,defender,defender,density,dictatorship
761,能辯護的,defensible,defensible,dental,diesel
762,挑釁,defiance,defiance,depict,differentiate
763,無禮的，目中無人的,defiant,defiant,deplete,diffuse
764,缺乏;缺陷,deficiency,deficiency,deploy,dilemma
765,不足的;有缺陷的,deficient,deficient,deployment,diligence
766,的確地,definitely,definitely,deport,dilute
767,明確的;決定(性)的,definitive,definitive,deprive,dimension
768,蔑視,defy,defy,derive,diminish
769,腐化，墮落,degenerate,degenerate,descent,diplomacy
770,降級;使墮落,degrade,degrade,descendant,diplomatic
771,委派;派遣,delegation,delegation,descriptive,directive
772,考慮;思考,deliberate,deliberate,designate,directly
773,不盡責的;懈怠者,delinquent,delinquent,desirable,directory
774,轉讓;讓(位),demise,demise,despise,disability
775,示範者,demonstrator,demonstrator,destined,disable
776,否認,denial,denial,destiny,disagreement
777,指示,denote,denote,detach,disastrous
778,譴責;告發,denounce,denounce,detached,disbelief
779,稠密;密度,density,density,detain,discern
780,牙齒的,dental,dental,detection,discharge
781,描寫；敘述,depict,depict,detention,disciple
782,損耗;用盡,deplete,deplete,deter,disciplinary
783,疏散開;部署,deploy,deploy,deteriorate,disclose
784,部署,deployment,deployment,deterioration,disclosure(n.)
785,輸送;把…驅逐出境,deport,deport,devalue,discomfort
786,剝奪,deprive,deprive,devastate,discredit
787,導出;推論,derive,derive,devastating,discreet
788,下降;下坡,descent,descent,developed,discrepancy
789,子孫,descendant,descendant,developer,discrete
790,敘述的,descriptive,descriptive,developing,discretion
791,任命某人任某職,designate,designate,deviate,discriminate
792,令人滿意的,desirable,desirable,devour,discrimination
793,藐視,despise,despise,dew,disgrace
794,注定的,destined,destined,diabetes,disgraceful
795,命運，天數,destiny,destiny,diagnose,disintegrate
796,脫離,detach,detach,diagnosis,dismantle
797,脫離的,detached,detached,diagram,dismay
798,扣留；拘留,detain,detain,diameter,dismissal
799,發現，發覺,detection,detection,diaper,dispatch
800,扣留，拘留,detention,detention,dictatorship,dispensable
801,阻止,deter,deter,diesel,dispense
802,使惡化,deteriorate,deteriorate,differentiate,disperse
803,惡化,deterioration,deterioration,diffuse,displace
804,使降低價值,devalue,devalue,dilemma,displease
805,蹂躪，破壞,devastate,devastate,diligence,disposable
806,具破壞性的,devastating,devastating,dilute,disposal
807,已開發的,developed,developed,dimension,dispose
808,開發者,developer,developer,diminish,disposition
809,開發中的,developing,developing,diplomacy,disregard
810,脫離(常軌);誤入歧途,deviate,deviate,diplomatic,disrupt
811,狼吞虎嚥,devour,devour,directive,dissent
812,露水,dew,dew,directly,dissident
813,糖尿病,diabetes,diabetes,directory,dissipate
814,診斷,diagnose,diagnose,disability,dissuade
815,診斷,diagnosis,diagnosis,disable,distil
816,圖示,diagram,diagram,disagreement,distinctive
817,直徑,diameter,diameter,disastrous,distort
818,尿布,diaper,diaper,disbelief,distract
819,獨裁,dictatorship,dictatorship,discern,distraction
820,柴油,diesel,diesel,discharge,distress
821,使有差別,differentiate,differentiate,disciple,distributed
822,擴散,diffuse,diffuse,disciplinary,distributor
823,進退兩難,dilemma,dilemma,disclose,disturbed
824,勤勉,diligence,diligence,disclosure(n.),disturbing
825,沖淡，稀釋,dilute,dilute,discomfort,diverse
826,尺寸,dimension,dimension,discredit,diversify
827,減少,diminish,diminish,discreet,diversion
828,外交手腕,diplomacy,diplomacy,discrepancy,diversity
829,外交(上)的,diplomatic,diplomatic,discrete,divert
830,方針;指揮的,directive,directive,discretion,dividend
831,直接地,directly,directly,discriminate,divorced
832,工商人名錄,directory,directory,discrimination,doctrine
833,無能；殘疾,disability,disability,disgrace,documentary
834,使無能；使殘廢,disable,disable,disgraceful,dodge
835,不一致;異議,disagreement,disagreement,disintegrate,domain
836,損害重大的;不幸的,disastrous,disastrous,dismantle,dome
837,不信,disbelief,disbelief,dismay,donation
838,辨別,discern,discern,dismissal,donor
839,發射;釋放；解除,discharge,discharge,dispatch,doom
840,門徒,disciple,disciple,dispensable,doomed
841,紀律的；懲戒性的,disciplinary,disciplinary,dispense,doorstep
842,揭發,disclose,disclose,disperse,doorway
843,洩露,disclosure(n.),disclosure(n.),displace,dosage
844,不舒適，不方便,discomfort,discomfort,displease,doubtless
845,喪失信用,discredit,discredit,disposable,dough
846,謹慎的,discreet,discreet,disposal,download
847,矛盾；不符合,discrepancy,discrepancy,dispose,drainage
848,分離的;不連續的,discrete,discrete,disposition,drape
849,判斷(力);謹慎,discretion,discretion,disregard,drastic
850,區別;歧視,discriminate,discriminate,disrupt,draught
851,歧視,discrimination,discrimination,dissent,drawback
852,出醜，丟臉,disgrace,disgrace,dissident,dreary
853,不光彩的,disgraceful,disgraceful,dissipate,dressed
854,使崩潰，使瓦解,disintegrate,disintegrate,dissuade,dried
855,拆除…的設備,dismantle,dismantle,distil,driveway
856,沮喪,dismay,dismay,distinctive,drizzle
857,解雇;遣散,dismissal,dismissal,distort,dual
858,發送,dispatch,dispatch,distract,dub
859,可有可無的,dispensable,dispensable,distraction,dubious
860,豁免(義務等);發放(施捨物等),dispense,dispense,distress,duplicate
861,使散開,disperse,disperse,distributed,dwarf
862,撤換，把…免職,displace,displace,distributor,dwell
863,使不愉快,displease,displease,disturbed,dwelling
864,用後就扔棄的,disposable,disposable,disturbing,dying
865,處理(n.),disposal,disposal,diverse,dynamite
866,有,dispose,dispose,diversify,earphones
867,性情,disposition,disposition,diversion,ebb
868,不顧;輕視,disregard,disregard,diversity,eccentric
869,使瓦解;打斷,disrupt,disrupt,divert,eclipse
870,持異議;異議,dissent,dissent,dividend,ecological
871,持不同意見者,dissident,dissident,divorced,ecology
872,使(雲霧等)消散，驅散(憂慮等),dissipate,dissipate,doctrine,ecstasy
873,勸阻,dissuade,dissuade,documentary,ecstatic
874,蒸餾,distil,distil,dodge,edged
875,獨特的;鑒別性的,distinctive,distinctive,domain,educated
876,使歪扭;曲解,distort,distort,dome,eel
877,分散(注意力等),distract,distract,donation,ego
878,分心,distraction,distraction,donor,eject
879,苦惱,distress,distress,doom,elapse(
880,分發的，配給的,distributed,distributed,doomed,electoral
881,配給者；散佈者,distributor,distributor,doorstep,electorate
882,被打擾的,disturbed,disturbed,doorway,electron
883,打擾人的,disturbing,disturbing,dosage,elevate
884,形形色色的,diverse,diverse,doubtless,elevation
885,使多樣化,diversify,diversify,dough,elicit
886,導流；轉移，轉向;消遣，娛樂,diversion,diversion,download,eligibility
887,差異;多樣,diversity,diversity,drainage,eligible
888,使轉向,divert,divert,drape,elite
889,紅利，股息,dividend,dividend,drastic,eloquence
890,離婚的,divorced,divorced,draught,eloquent
891,教條,doctrine,doctrine,drawback,embargo
892,記錄片,documentary,documentary,dreary,embark
893,躲開,dodge,dodge,dressed,embarrassment
894,勢力範圍,domain,domain,dried,embed
895,圓屋頂,dome,dome,driveway,embody
896,捐贈,donation,donation,drizzle,embrace
897,贈送人,donor,donor,dual,embryo
898,惡運,doom,doom,dub,emergence
899,注定要,doomed,doomed,dubious,emigrant
900,門階,doorstep,doorstep,duplicate,emigrate
901,出入口,doorway,doorway,dwarf,emigration
902,劑量,dosage,dosage,dwell,emission(
903,無疑地,doubtless,doubtless,dwelling,emit
904,生麵團,dough,dough,dying,emphatic
905,下載,download,download,dynamite,empirical
906,排水;排水系統,drainage,drainage,earphones,enact
907,披上;布簾,drape,drape,ebb,enclosure
908,激烈的,drastic,drastic,eccentric,encouraging
909,一飲;匯票；付款通知,draught,draught,eclipse,encyclopedia
910,障礙;弊端;退款,drawback,drawback,ecological,endeavor
911,枯燥的,dreary,dreary,ecology,endless
912,盛裝的,dressed,dressed,ecstasy,endorse
913,乾燥的,dried,dried,ecstatic,endow
914,私人車道,driveway,driveway,edged,endowment
915,毛毛雨,drizzle,drizzle,educated,energize
916,二元的;雙的,dual,dual,eel,enforcement
917,刺,dub,dub,ego,engaged
918,半信半疑的,dubious,dubious,eject,engagement
919,使加倍,duplicate,duplicate,elapse(,enlighten
920,侏儒,dwarf,dwarf,electoral,enrich
921,居住,dwell,dwell,electorate,ensue
922,住宅,dwelling,dwelling,electron,entail
923,快死的,dying,dying,elevate,enthusiast
924,炸藥,dynamite,dynamite,elevation,entity
925,耳機,earphones,earphones,elicit,entrepreneur
926,落潮;衰落,ebb,ebb,eligibility,environmentalist
927,異常的,eccentric,eccentric,eligible,envisage
928,蝕,eclipse,eclipse,elite,envoy
929,生態學的,ecological,ecological,eloquence,enzyme
930,生態學,ecology,ecology,eloquent,epic
931,狂喜,ecstasy,ecstasy,embargo,epidemic
932,狂喜的,ecstatic,ecstatic,embark,episode
933,有刃的;鋒利的,edged,edged,embarrassment,epoch
934,受過教育的,educated,educated,embed,equate
935,鱔魚,eel,eel,embody,equation
936,自我,ego,ego,embrace,equator
937,逐出;吐出,eject,eject,embryo,equilibrium
938,時間)經過，消失,elapse(,elapse(,emergence,equity
939,選舉的；選舉人的,electoral,electoral,emigrant,erode
940,選民(全體),electorate,electorate,emigrate,erosion
941,電子,electron,electron,emigration,erotic
942,提升,elevate,elevate,emission(,erroneous
943,海拔,elevation,elevation,emit,erupt(
944,誘出(回答等),elicit,elicit,emphatic,eruption
945,適任,eligibility,eligibility,empirical,escalate
946,適任的,eligible,eligible,enact,escort
947,精英份子,elite,elite,enclosure,essence
948,雄辯；口才,eloquence,eloquence,encouraging,established
949,口才好的,eloquent,eloquent,encyclopedia,establishment
950,禁止(船隻)出入港口,embargo,embargo,endeavor,esteem
951,上飛機，上船,embark,embark,endless,eternal
952,窘迫,embarrassment,embarrassment,endorse,eternity
953,嵌進,embed,embed,endow,ethic
954,使具體化,embody,embody,endowment,ethical
955,擁抱,embrace,embrace,energize,ethics
956,胚胎;胚芽,embryo,embryo,enforcement,ethnic
957,出現，發生,emergence,emergence,engaged,evacuate
958,移民;移民的,emigrant,emigrant,engagement,evacuation
959,移居(外國),emigrate,emigrate,enlighten,evaluation
960,移居外國(n.),emigration,emigration,enrich,evaporate
961,光、熱、氣體等的)發出,emission(,emission(,ensue,evaporation
962,發，放(光等),emit,emit,entail,evergreen
963,強調的,emphatic,emphatic,enthusiast,evidently
964,以經驗為根據的,empirical,empirical,entity,evoke
965,規定;演出,enact,enact,entrepreneur,exaggerated
966,包圍;附件,enclosure,enclosure,environmentalist,exaggeration
967,鼓勵人的,encouraging,encouraging,envisage,examinee
968,百科全書,encyclopedia,encyclopedia,envoy,exceed
969,努力,endeavor,endeavor,enzyme,exceedingly
970,無盡的,endless,endless,epic,excel
971,背書;簽收,endorse,endorse,epidemic,excerpt
972,授與,endow,endow,episode,excess
973,捐款；基金,endowment,endowment,epoch,excessive
974,給與…以活力,energize,energize,equate,exclude
975,強制;厲行,enforcement,enforcement,equation,exclusion
976,忙於…;訂婚了的,engaged,engaged,equator,exclusively
977,約會;婚約,engagement,engagement,equilibrium,execute
978,啟發,enlighten,enlighten,equity,execution
979,使豐富,enrich,enrich,erode,exemplify
980,隨後的,ensue,ensue,erosion,exempt
981,遺留給，轉給(弊害等),entail,entail,erotic,exert
982,熱衷者,enthusiast,enthusiast,erroneous,exile
983,實體;存在(物),entity,entity,erupt(,existing
984,企業家,entrepreneur,entrepreneur,eruption,exotic
985,環境保護論者,environmentalist,environmentalist,escalate,expedition
986,面對(事實等),envisage,envisage,escort,expel
987,使者,envoy,envoy,essence,expend
988,酵,enzyme,enzyme,established,expenditure
989,史詩,epic,epic,establishment,experienced
990,傳染病,epidemic,epidemic,esteem,expertise
991,插曲;小說中的一段情節,episode,episode,eternal,expiration
992,紀元,epoch,epoch,eternity,expire
993,使相等,equate,equate,ethic,explicit
994,均衡,equation,equation,ethical,exploration
995,赤道,equator,equator,ethics,exposition
996,均衡;(心情的)平靜,equilibrium,equilibrium,ethnic,expressive
997,公平,equity,equity,evacuate,expulsion
998,侵蝕,erode,erode,evacuation,exquisite
999,侵蝕,erosion,erosion,evaluation,exterior
1000,性欲的,erotic,erotic,evaporate,external
1001,錯誤的,erroneous,erroneous,evaporation,externals
1002,火山等)迸發,erupt(,erupt(,evergreen,extinguish
1003,噴發,eruption,eruption,evidently,extract
1004,乘電梯上升,escalate,escalate,evoke,extracurricular
1005,護送,escort,escort,exaggerated,extradite
1006,本質,essence,essence,exaggeration,extravagant
1007,被認定了的,established,established,examinee,extremist
1008,設置;機關,establishment,establishment,exceed,eyelash
1009,尊敬,esteem,esteem,exceedingly,eyelid
1010,不朽的,eternal,eternal,excel,fabric
1011,永恒,eternity,eternity,excerpt,fabricate
1012,倫理的，道德的,ethic,ethic,excess,fabulous
1013,倫理的，道德的,ethical,ethical,excessive,facet(
1014,倫理道德,ethics,ethics,exclude,facilitate
1015,種族的,ethnic,ethnic,exclusion,faction
1016,撤走,evacuate,evacuate,exclusively,faculty
1017,疏散,evacuation,evacuation,execute,fad
1018,評價,evaluation,evaluation,execution,Fahrenheit
1019,使蒸發,evaporate,evaporate,exemplify,faithfully
1020,蒸發,evaporation,evaporation,exempt,falter
1021,常綠植物,evergreen,evergreen,exert,familiarity
1022,明顯的,evidently,evidently,exile,famine
1023,喚起；引起,evoke,evoke,existing,farming
1024,誇大的,exaggerated,exaggerated,exotic,fascination
1025,誇大,exaggeration,exaggeration,expedition,Fascism
1026,參加考試的人,examinee,examinee,expel,fascist
1027,超過(限度、範圍),exceed,exceed,expend,fatigue
1028,極度的,exceedingly,exceedingly,expenditure,fatty
1029,優於，超過,excel,excel,experienced,fearful
1030,摘錄,excerpt,excerpt,expertise,feasible
1031,過量；過剩,excess,excess,expiration,feat
1032,過度的,excessive,excessive,expire,federation
1033,把…除外,exclude,exclude,explicit,feeble
1034,排除,exclusion,exclusion,exploration,feeder
1035,排外地;獨有地,exclusively,exclusively,exposition,fellowship
1036,執行,execute,execute,expressive,feminine
1037,執行,execution,execution,expulsion,feminism
1038,舉例證明,exemplify,exemplify,exquisite,feminist
1039,免除，豁免,exempt,exempt,exterior,fertility
1040,發揮(威力等)，使受(影響等),exert,exert,external,fianc
1041,流放,exile,exile,externals,fiber
1042,現存的,existing,existing,extinguish,fiddle
1043,異國情調的,exotic,exotic,extract,fidelity
1044,遠征,expedition,expedition,extracurricular,filter
1045,驅逐,expel,expel,extradite,fin
1046,花費,expend,expend,extravagant,finding
1047,支出，花費,expenditure,expenditure,extremist,finite
1048,有經驗的,experienced,experienced,eyelash,firecracker
1049,專門技能,expertise,expertise,eyelid,firefighter
1050,呼氣,expiration,expiration,fabric,fireproof
1051,吐氣(v.),expire,expire,fabricate,first-class
1052,明白的,explicit,explicit,fabulous,fiscal
1053,探勘,exploration,exploration,facet(,fishery
1054,博覽會,exposition,exposition,facilitate,fitting
1055,富於表情的,expressive,expressive,faction,fixed
1056,驅逐,expulsion,expulsion,faculty,fixture
1057,精緻的,exquisite,exquisite,fad,flake
1058,外部的,exterior,exterior,Fahrenheit,flank
1059,外部的,external,external,faithfully,flap
1060,外形，外貌,externals,externals,falter,flare
1061,滅(火),extinguish,extinguish,familiarity,flaw
1062,分離出,extract,extract,famine,fleet(
1063,正課以外的,extracurricular,extracurricular,farming,flick(
1064,引渡(外國的罪犯),extradite,extradite,fascination,flicker
1065,奢侈的，浪費的,extravagant,extravagant,Fascism,fling
1066,過激主義者,extremist,extremist,fascist,flop
1067,眼睫毛,eyelash,eyelash,fatigue,flounder
1068,眼瞼,eyelid,eyelid,fatty,flourish
1069,織物,fabric,fabric,fearful,fluctuate
1070,構成；組成,fabricate,fabricate,feasible,fluency
1071,極好的,fabulous,fabulous,feat,fluid
1072,事物的)一面,facet(,facet(,federation,flunk(
1073,使容易;助長,facilitate,facilitate,feeble,flutter
1074,派別,faction,faction,feeder,foe
1075,才能;(大學的)專科,faculty,faculty,fellowship,foil
1076,一時流行的風尚,fad,fad,feminine,folklore
1077,華氏,Fahrenheit,Fahrenheit,feminism,follow-up
1078,忠實地,faithfully,faithfully,feminist,footage(
1079,踉蹌;結巴,falter,falter,fertility,footstep
1080,熟悉,familiarity,familiarity,fianc,forbidden
1081,饑荒,famine,famine,fiber,foremost
1082,耕作；飼養(家禽),farming,farming,fiddle,forge(
1083,魅力;迷戀,fascination,fascination,fidelity,format(
1084,法西斯主義,Fascism,Fascism,filter,formidable
1085,法西斯主義者,fascist,fascist,fin,formulate
1086,勞累,fatigue,fatigue,finding,forsake
1087,油膩的,fatty,fatty,finite,forthcoming
1088,嚇人的,fearful,fearful,firecracker,fortify
1089,行得通的;適宜的,feasible,feasible,firefighter,fortnight
1090,卓絕的手藝,feat,feat,fireproof,forum
1091,聯邦,federation,federation,first-class,fossil
1092,虛弱的,feeble,feeble,fiscal,foster
1093,餵食者;進料器,feeder,feeder,fishery,foul
1094,夥伴關係;交情,fellowship,fellowship,fitting,fowl
1095,女性的,feminine,feminine,fixed,fraction
1096,爭取女權運動,feminism,feminism,fixture,fracture
1097,爭取女權運動的人,feminist,feminist,flake,fragile
1098,肥沃;繁殖力,fertility,fertility,flank,fragment
1099,未婚夫,fianc,fianc,flap,fragrant
1100,纖維,fiber,fiber,flare,frail
1101,提琴;瞎擺弄,fiddle,fiddle,flaw,framework
1102,忠誠;逼真度,fidelity,fidelity,fleet(,Franc
1103,濾紙;過濾,filter,filter,flick(,franchise
1104,鰭,fin,fin,flicker,frankly
1105,發現的東西,finding,finding,fling,frantic
1106,有限的,finite,finite,flop,fraud
1107,鞭炮,firecracker,firecracker,flounder,freak
1108,消防隊員,firefighter,firefighter,flourish,fret
1109,防火的,fireproof,fireproof,fluctuate,friction
1110,一流的,first-class,first-class,fluency,fringe
1111,財政上的；會計的,fiscal,fiscal,fluid,frontier
1112,漁業,fishery,fishery,flunk(,front-page
1113,配合;裝置;適當的,fitting,fitting,flutter,fruitful
1114,固定的,fixed,fixed,foe,frustration
1115,固定;固定物,fixture,fixture,foil,full-time
1116,薄片;火花,flake,flake,folklore,fume(
1117,腰窩;側翼建築物,flank,flank,follow-up,fumes
1118,拍動(翅膀),flap,flap,footage(,fundamentalism
1119,閃爍的火光,flare,flare,footstep,fundamentalist
1120,瑕疵,flaw,flaw,forbidden,funding
1121,汽車、戰車等的)車隊;疾飛,fleet(,fleet(,foremost,furnace
1122,用手指)輕彈;輕彈聲,flick(,flick(,forge(,fury
1123,閃爍,flicker,flicker,format(,fuse
1124,擲，丟;猛衝，突進,fling,fling,formidable,fusion
1125,鼓翼;啪嗒[放下、坐下],flop,flop,formulate,fuss
1126,踉蹌;行為[言語]錯亂,flounder,flounder,forsake,galaxy
1127,茂盛；興旺,flourish,flourish,forthcoming,gallop
1128,起伏,fluctuate,fluctuate,fortify,garment
1129,流利,fluency,fluency,fortnight,gaseous
1130,流體,fluid,fluid,forum,gasp
1131,考試等)失敗,flunk(,flunk(,fossil,gathering
1132,拍翅振翼；(旗幟)飄揚,flutter,flutter,foster,gauge
1133,敵人,foe,foe,foul,gel
1134,金屬薄片,foil,foil,fowl,gender
1135,民間傳說,folklore,folklore,fraction,generalize
1136,追蹤;接著的,follow-up,follow-up,fracture,generate
1137,影片等總長度的)英尺數,footage(,footage(,fragile,generator
1138,腳步聲；足跡,footstep,footstep,fragment,genetic
1139,被禁止的,forbidden,forbidden,fragrant,genetics
1140,最初的;主要的,foremost,foremost,frail,genre
1141,思想等的)鍛煉;熔鐵爐,forge(,forge(,framework,geographical
1142,資料安排的)形式,format(,format(,Franc,geology
1143,可怕的;難以應付的,formidable,formidable,franchise,geometry
1144,用公式表示,formulate,formulate,frankly,ghetto
1145,捨棄,forsake,forsake,frantic,gilt
1146,即將到來的,forthcoming,forthcoming,fraud,given
1147,加強;使(意志等)堅定,fortify,fortify,freak,glacier
1148,兩星期,fortnight,fortnight,fret,glamour
1149,論壇;座談會,forum,forum,friction,glamorous
1150,化石的,fossil,fossil,fringe,gland
1151,養育，撫育,foster,foster,frontier,glare
1152,有惡臭的;令人作嘔的,foul,foul,front-page,glassware
1153,家禽,fowl,fowl,fruitful,gleam
1154,碎片;一點兒,fraction,fraction,frustration,glee
1155,裂縫;(使)斷裂,fracture,fracture,full-time,glisten
1156,脆弱的;易碎的,fragile,fragile,fume(,glitter
1157,碎片,fragment,fragment,fumes,gloom
